plant ID;population;fertilisation;nLeaves1;LongestLeaf1_Cm;Glucosinolates1_[µmol/ g dry weight];HsGlucosinolates1;nPathogenSpots1;nHerbivores1;HsHerbivores1;LeafHerbivory1_Cons_[mm_];nPredators1;status
AL_01;01AL;high;21;31,2;30,004;0,845;21;43;2,112;65;18;native
AL_02;01AL;low;15;25,2;28,903;0,904;21;25;1,811;35;5;native
AL_03;01AL;high;26;19,4;26,236;0,795;4;22;2,237;33;2;native
AL_04;01AL;low;27;22,5;39,199;0,685;10;21;1,872;17;6;native
AL_05;01AL;high;36;20,5;30,678;0,637;13;14;1,673;70;5;native
AL_06;01AL;low;24;31,3;35,294;1,095;20;59;1,369;2;7;native
AL_07;01AL;high;33;26;44,584;0,754;11;24;1,625;38;15;native
AL_08;01AL;low;22;32,7;32,578;1,13;23;58;1,55;30;6;native
AL_09;01AL;high;26;29,7;38,875;1,037;18;31;1,868;54;7;native
AL_10;01AL;low;30;22,5;48,874;0,676;11;22;1,835;5;20;native
AL_11;01AL;high;22;29,6;20,115;0,519;24;46;1,932;41;11;native
AL_12;01AL;low;14;29,2;43,986;1,19;9;49;1,193;34;4;native
T3_01;02T3;high;19;18,3;40,769;1,571;11;15;1,934;0;7;native
T3_02;02T3;low;22;17,9;52,291;0,759;15;34;1,715;5;9;native
T3_03;02T3;high;27;25,9;71,849;1,729;5;22;2,027;46;7;native
T3_04;02T3;low;31;22,5;52,291;0,759;20;23;1,832;40;4;native
T3_05;02T3;high;29;19,9;84,553;1,64;4;17;1,758;20;11;native
T3_06;02T3;low;31;13,9;38,366;1,669;2;21;1,857;12;2;native
T3_07;02T3;high;29;17,5;25,283;1,437;19;16;1,386;30;9;native
T3_08;02T3;low;26;24,9;24,855;1,703;20;26;1,718;74;6;native
T3_09;02T3;high;30;27,1;66,542;1,359;11;29;1,951;23;3;native
T3_10;02T3;low;24;21,4;30,289;1,525;24;15;1,523;16;4;native
T3_11;02T3;high;33;31,5;50,359;1,501;11;11;2,098;24;4;native
T3_12;02T3;low;26;21,4;98,666;1,76;14;39;2,142;19;5;native
T4_01;03T4;high;25;20;43,776;1,746;7;26;1,392;8;7;native
T4_02;03T4;low;18;19,2;74,063;1,356;3;16;1,16;7;2;native
T4_03;03T4;high;38;23,6;65,268;1,48;3;23;1,911;100;2;native
T4_04;03T4;low;19;24,8;31,126;1,435;2;32;1,775;28;4;native
T4_05;03T4;high;24;23,9;23,033;1,711;9;22;1,363;41;7;native
T4_06;03T4;low;21;27,2;84,313;1,435;2;22;1,547;80;11;native
T4_07;03T4;high;26;28,9;31,126;1,76;15;23;2,148;19;13;native
T4_08;03T4;low;27;20,3;37,309;1,469;6;20;1,541;30;11;native
T4_09;03T4;high;35;24,2;47,725;1,378;12;33;1,849;8;21;native
T4_10;03T4;low;16;18,5;81,457;1,256;3;16;1,927;30;3;native
T4_11;03T4;high;23;25,2;41,953;1,422;25;28;1,398;27;2;native
T4_12;03T4;low;24;12,1;49,19;1,691;7;25;1,649;5;4;native
RO_01;04RO;high;20;23,2;37,039;1,003;7;22;1,313;7;13;native
RO_02;04RO;low;12;19,9;90,748;1,045;9;20;1,371;21;14;native
RO_03;04RO;high;20;27,6;68,852;1,124;40;29;1,621;67;24;native
RO_04;04RO;low;18;28,1;33,625;1,359;9;35;1,636;55;9;native
RO_05;04RO;high;16;22,6;31,463;0,988;9;26;1,482;70;3;native
